# non-physical-nouns.tsv
#
# 16958 single-word English common nouns for which NO sense in Open English
# WordNet 2024 inherits from `physical entity` or `thing`. Every sense of every
# lemma below traces upward to `abstraction`.
#
# Generated: 2026-08-20
#
# ---------------------------------------------------------------------------
# ATTRIBUTION (required — this file is a derivative work)
# ---------------------------------------------------------------------------
# Derived from Open English WordNet 2024
#   https://github.com/globalwordnet/english-wordnet
#   Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)
#   https://creativecommons.org/licenses/by/4.0/
#
# Cite as:
#   John P. McCrae, Alexandre Rademaker, Francis Bond, Ewa Rudnicka and
#   Christiane Fellbaum (2019) "English WordNet 2019 - An Open-Source WordNet
#   for English." In Proceedings of the 10th Global WordNet Conference (GWC
#   2019), Wroclaw.
#
# CC BY 4.0 permits commercial use and redistribution provided attribution is
# given and changes are indicated. Changes made here: filtered to single-word
# lowercase noun lemmas; removed lemmas having any `physical entity` sense;
# annotated each remaining lemma with its immediate branch(es) under
# `abstraction`; no lexical content was altered.
# ---------------------------------------------------------------------------
#
# FORMAT: lemma<TAB>branches   (branches semicolon-separated when a lemma has
# senses in more than one branch)
#
# Branch counts (as sole branch):
#   attribute: 4983
#   event: 3738
#   psychological feature: 1707
#   communication: 1402
#   measure: 1029
#   group: 586
#   relation: 542
#   right: 8
#   absolute: 1
#   otherworld: 1
#   set: 1
#   (multi-branch lemmas: 2960)
#
# NOTE ON `group`: WordNet files collective nouns (crowd, committee, herd)
# under `abstraction`. 586 lemmas here are group-only and are arguably
# concrete. Filter with: awk -F'\t' '$2 !~ /group/' non-physical-nouns.tsv
#
lemma	branches
'hood	group
0	measure
1	measure
10	measure
100	measure
1000	measure
10000	measure
100000	measure
1000000	measure
1000000000	measure
1000000000000	measure
11	measure
12	measure
120	measure
13	measure
14	measure
144	measure
15	measure
1530s	measure
16	measure
17	measure
1728	measure
1750s	measure
1760s	measure
1770s	measure
1780s	measure
1790s	measure
18	measure
1820s	measure
1830s	measure
1840s	measure
1850s	measure
1860s	measure
1870s	measure
1880s	measure
1890s	measure
19	measure
1900s	measure
1920s	measure
1930s	measure
1940s	measure
1950s	measure
1960s	measure
1970s	measure
1980s	measure
1990s	measure
2	measure
20	measure
20/20	psychological feature
21	measure
22	measure
23	measure
24	measure
24/7	measure
25	measure
26	measure
27	measure
28	measure
29	measure
3	measure
30	measure
4	measure
40	measure
4to	attribute
5	measure
50	measure
500	measure
6	measure
60	measure
7	measure
70	measure
8	measure
80	measure
8vo	attribute
9	measure
9/11	event
90	measure
a	communication
a.m.	measure
abamp	measure
abampere	measure
abandon	attribute
abandonment	event
abarticulation	attribute
abasement	attribute;event
abashment	attribute
abasia	attribute
abatement	event
abbreviation	event;relation
abcoulomb	measure
abdication	communication;event
abdominocentesis	event
abdominoplasty	event
abdominousness	attribute
abduction	event
abecedarius	communication
aberrance	attribute
aberrancy	attribute
abetalipoproteinemia	attribute
abetment	communication
abettal	communication
abeyance	attribute
abfarad	measure
abhenry	measure
abhorrence	attribute
abidance	event
abience	psychological feature
ability	attribute;psychological feature
abiotrophy	event
abjection	attribute
abjuration	event
ablative	group
ablaut	relation
ableism	event
ablepharia	attribute
ablism	event
ablution	event
abnegation	event
abnormalcy	attribute
abnormality	attribute;event;psychological feature
abocclusion	attribute
abohm	measure
abolishment	event
abolition	event
abolitionism	psychological feature
abort	event
abortion	event
aboulia	attribute
above	communication
abracadabra	communication
abrachia	attribute
abrasiveness	attribute
abreaction	event
abridgement	communication
abridgment	communication
abrogation	event
abruption	event
abruptness	attribute;relation
abscess	psychological feature
abscissa	measure
abscondment	event
abseil	event
absence	attribute;event;measure
absenteeism	event
absentmindedness	attribute
absolute	absolute
absoluteness	attribute
absolution	attribute;event
absolutisation	psychological feature
absolutism	attribute;group;psychological feature
absolutization	psychological feature
absorbance	attribute
absorbency	attribute
absorptance	measure
absorptivity	attribute
abstemiousness	attribute
abstention	attribute
abstinence	attribute;event
abstract	communication
abstractedness	attribute
abstraction	attribute
abstractness	attribute
abstruseness	attribute;psychological feature
abstrusity	psychological feature
absurd	attribute
absurdity	attribute;communication
absurdness	communication
abulia	attribute
abundance	attribute;relation
abuse	communication;event
abvolt	measure
abwatt	measure
academe	group
academia	group
academicianship	event
academicism	attribute
academism	attribute
acantha	attribute
acanthocytosis	attribute
acantholysis	attribute
acanthoma	attribute
acanthosis	attribute
acapnia	attribute
acardia	attribute
acariasis	attribute
acaridiasis	attribute
acariosis	attribute
acarophobia	attribute
acatalectic	communication
acataphasia	attribute
acathexia	attribute
acathexis	psychological feature
accelerando	attribute
acceleration	event;relation
accent	attribute;communication
accenting	event
accentuation	communication;event
acceptability	attribute
acceptableness	attribute
acceptance	attribute;communication;event;psychological feature
acceptation	attribute;communication;event
accessibility	attribute
acciaccatura	communication
accidence	psychological feature
accident	event
accidental	communication
acclaim	communication
acclamation	communication
accolade	communication
accomplishment	event;psychological feature
accord	attribute;communication;event
accordance	event
account	attribute;communication;event;psychological feature
accountability	attribute
accountancy	event
accountantship	event
accounting	communication;event;psychological feature
accreditation	event
accrual	event
accruement	event
acculturation	event;psychological feature
accuracy	attribute
accusal	communication
accusation	communication
accusative	group
acedia	event
acephalia	attribute
acephalism	attribute
acephaly	attribute
acerbity	attribute
acetonemia	psychological feature
acetonuria	psychological feature
ache	psychological feature
achievability	attribute
achievement	event
aching	psychological feature
achlorhydria	attribute
acholia	attribute
achondroplasia	attribute
achondroplasty	attribute
achromasia	attribute
achromaticity	attribute
achromatism	attribute
achromia	attribute
achylia	attribute
acidemia	attribute
acidimetry	event
acidity	attribute;psychological feature
acidosis	attribute
acidulousness	psychological feature
acknowledgement	attribute;communication
acknowledgment	attribute;communication
acmeism	group
acne	attribute
acorea	attribute
acousma	attribute
acousticophobia	attribute
acoustics	psychological feature
acquaintanceship	attribute
acquiescence	attribute;event
acquirement	psychological feature
acquiring	event
acquisition	event;psychological feature;relation
acquisitiveness	attribute
acquittal	event
acquittance	communication
acre	measure
acreage	attribute
acres	relation
acridity	attribute;psychological feature
acridness	attribute
acrimony	attribute
acroanaesthesia	attribute
acroanesthesia	attribute
acrobatics	event
acrocephaly	attribute
acrocyanosis	psychological feature
acromegalia	attribute
acromegaly	attribute
acromicria	attribute
acromikria	attribute
acromphalus	attribute
acromyotonia	attribute
acronym	relation
acrophobia	attribute
acrophony	event
acrostic	communication
act	communication;event
acting	event;psychological feature
actinide	group
actinism	attribute
actinoid	group
actinometry	event
actinomycosis	attribute
actinon	group
actinotherapy	event
activating	event
activeness	attribute
activism	psychological feature
actualisation	event
actuality	attribute
actualization	event
actuation	event
acuity	psychological feature
acupressure	event
acupuncture	event
acute	communication
acuteness	attribute;psychological feature
ad	communication
adactylia	attribute
adactylism	attribute
adactyly	attribute
adage	communication
adagio	communication;event;psychological feature
adamance	attribute
adaptability	attribute
addend	measure
addendum	communication
addiction	attribute;event
adducing	communication
adduction	event
adenitis	psychological feature
adenocarcinoma	attribute
adenoidectomy	event
adenoma	attribute
adenomegaly	attribute
adenomyosarcoma	attribute
adenomyosis	attribute
adenopathy	attribute
adenosis	attribute
adeptness	attribute
adequacy	attribute
adequateness	attribute
adherence	attribute;event
adhesiveness	attribute
adhocracy	group
adiaphoron	event;group;psychological feature
adience	psychological feature
adieu	communication
adios	communication
adiposeness	attribute
adiposis	attribute
adiposity	attribute
adjacency	relation
adjective	group;relation
adjournment	event
adjudication	event
adjunction	event
adjuration	event
admass	group
administration	event;group;measure
administrivia	event
admirability	attribute
admirableness	attribute
admiralty	event;group
admiration	attribute;event
admissibility	attribute
admission	communication;event;relation;right
admittance	event;right
admonishment	communication
admonition	communication
adnoun	relation
ado	event
adolescence	attribute;measure
adoption	event
adorability	attribute
adorableness	attribute
adoration	attribute;event
adoxography	event
adrenalectomy	event
adrenarche	event
adroitness	attribute
adulation	communication
adulteration	attribute;event
adulterousness	attribute
adulthood	attribute;measure
adulting	event
advance	communication;event;relation
advancement	communication;event
advantage	attribute;measure
advantageousness	attribute
advent	event
adventure	event
adventurism	attribute
adventurousness	attribute
adverb	group;relation
adverbial	relation
adversity	attribute;event
advert	communication
advertence	psychological feature
advertency	psychological feature
advertisement	communication
advertising	communication;event
advertizement	communication
advertizing	communication
advertorial	communication
advice	communication
advisability	attribute
advisement	psychological feature
advisory	communication
advocacy	event
advowson	right
adynamia	attribute
aegir	event
aeon	attribute;measure;psychological feature
aerobatics	event
aerobics	event
aerodontalgia	psychological feature
aerodynamics	psychological feature
aeroembolism	attribute;event
aerology	psychological feature
aeromechanics	psychological feature
aeromedicine	psychological feature
aeronautics	psychological feature
aerophilately	event
aesthesia	attribute
aesthesis	psychological feature
aesthetic	psychological feature
aesthetics	psychological feature
aestivation	attribute;group
aether	event
aetiology	event;psychological feature
affability	attribute
affableness	attribute
affair	attribute;event;group
affaire	attribute
affairs	attribute;event
affect	attribute
affectation	event
affectedness	attribute;event
affection	attribute
affectionateness	attribute
affidavit	communication
affiliation	attribute;event
affirmation	communication;event
affirmative	communication
affirmativeness	attribute
affix	relation
affixation	event;psychological feature
afflatus	psychological feature
affliction	attribute;event
affluence	attribute
affluenza	psychological feature
afforestation	event
affray	event
affricate	relation
affrication	communication
affricative	relation
affright	attribute
affront	event
affusion	event
afghani	measure
afibrinogenemia	attribute
aftercare	event
afterimage	psychological feature
afterlife	measure
afternoon	communication;measure
afterpains	psychological feature
aftersensation	psychological feature
aftertaste	psychological feature
afterworld	psychological feature
agalactia	attribute
agalactosis	attribute
agammaglobulinemia	attribute
agape	attribute;event
age	attribute;measure
aged	group
agedness	attribute
ageism	event
agelessness	attribute
agency	attribute;event;group
agenda	communication;psychological feature
agendum	communication
agerasia	attribute
agglomeration	event;group
aggrandisement	event
aggrandizement	event
aggravation	attribute;event
aggregation	event;group
aggression	attribute;event
aggressiveness	attribute
aggro	event
agility	attribute
agio	relation
agiotage	event;relation
agism	event
agitation	attribute;event
agitprop	communication
agnation	relation
agnomen	relation
agnosia	attribute
agnosticism	psychological feature
agon	event
agony	attribute;psychological feature
agoraphobia	attribute
agranulocytosis	attribute
agranulosis	attribute
agrapha	communication
agraphia	attribute
agraphon	communication
agreeability	attribute
agreeableness	attribute
agreement	attribute;communication;event;psychological feature;relation
agribusiness	event
agriculture	event;group
agrobiology	psychological feature
agrology	psychological feature
agromania	psychological feature
agronomy	psychological feature
agrypnia	event
ague	attribute;communication;psychological feature
ahem	communication
ahimsa	psychological feature
aid	attribute;event;relation
aikido	event
ailment	attribute
ailurophobia	attribute
aimlessness	attribute
airburst	event
aircrew	group
airdrop	event
airfare	relation
airflow	event
airforce	group
airiness	attribute
airing	event
airlift	event
airmail	communication;event
airmanship	psychological feature
airpost	event
airs	attribute
airsickness	attribute;psychological feature
airspeed	relation
airwave	event
airworthiness	attribute
akinesia	attribute
akinesis	attribute
alacrity	attribute
alalia	attribute
alarmism	event
alarum	communication
alastrim	attribute
albedo	relation
albinism	attribute
albuminuria	psychological feature
alcaptonuria	attribute
alchemy	psychological feature;relation
alcoholism	attribute;psychological feature
aldosteronism	attribute
aleph	communication
alert	attribute;communication;event
alerting	attribute;event
alertness	attribute;psychological feature
alexia	attribute
algebra	psychological feature
algidity	attribute
algolagnia	attribute
algology	psychological feature
algometry	event
algophilia	attribute
algophobia	attribute
algorism	communication;psychological feature
algorithm	event
alhamdulilah	communication
alias	relation
alibi	communication
alienage	attribute
alienation	attribute;event
alienism	attribute;psychological feature
alignment	event;group;relation
alikeness	attribute
alimony	relation
alinement	group
aliquant	measure
aliquot	measure
aliveness	attribute
aliyah	communication;event
alkalemia	attribute
alkalimetry	event
alkalinity	attribute
alkalinuria	psychological feature
alkalosis	attribute
alkaluria	psychological feature
alkaptonuria	attribute
allegation	communication
allegement	communication
allegiance	attribute;event
allegoresis	communication
allegoricalness	attribute
allegory	communication;psychological feature
allegretto	attribute;communication
allegro	attribute;communication
allele	group
allelomorph	group
allergology	psychological feature
allergy	attribute
alleviation	attribute;event
